time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
0,0,0,0,0,0,0,0,0,0,0,0,0
10001,-0.000420501,-0.000420501,0.0010001,-6.3e-36,5.57859e-61,1.22074e-26,0,0,65.623,0,0,0
20000,-0.000887753,-0.000887753,0.002,-5.48355e-28,1.01361e-49,1.28324e-22,0,0,92.5934,0,0,0
30001,-0.00138733,-0.00138733,0.0030001,-7.91789e-27,9.60135e-49,1.48336e-22,0,0,92.9859,0,0,0
40001,-0.00188686,-0.00188686,0.0040001,-2.40971e-26,6.10358e-48,2.06573e-22,0,0,93.375,0,0,0
50000,-0.00238634,-0.00238634,0.005,-3.17519e-26,1.06423e-47,8.11883e-23,0,0,93.7616,0,0,0
60000,-0.00288587,-0.00288587,0.006,-3.36149e-26,1.30605e-47,1.51425e-23,0,0,94.146,0,0,0
70000,-0.00338541,-0.00338541,0.007,-3.44734e-26,1.18286e-47,5.64715e-23,0,0,94.5281,0,0,0
80000,-0.00388495,-0.00388495,0.008,-4.06765e-26,1.23419e-47,7.14976e-23,0,0,94.9078,0,0,0
90000,-0.00438449,-0.00438449,0.009,-4.77973e-26,1.62926e-47,2.04554e-23,0,0,95.2853,0,0,0
100001,-0.00488408,-0.00488408,0.0100001,-4.55406e-26,2.26811e-47,-9.85648e-23,0,0,95.6604,0,0,0
110001,-0.00538363,-0.00538363,0.0110001,-3.05635e-26,3.44159e-47,-2.75732e-22,0,0,96.0333,0,0,0
120001,-0.00588318,-0.00588318,0.0120001,-1.19345e-26,4.00272e-47,-2.31588e-22,0,0,96.4039,0,0,0
130001,-0.00638274,-0.00638274,0.0130001,6.11034e-27,4.61769e-47,-3.04738e-22,0,0,96.7722,0,0,0
140001,-0.00688229,-0.00688229,0.0140001,2.71466e-26,5.39627e-47,-3.10222e-22,0,0,97.1383,0,0,0
150001,-0.00738185,-0.00738185,0.0150001,4.96316e-26,6.68337e-47,-2.48e-22,0,0,97.5022,0,0,0
160001,-0.00788141,-0.00788141,0.0160001,6.77239e-26,7.19197e-47,-2.64975e-22,0,0,97.8638,0,0,0
170001,-0.00838098,-0.00838098,0.0170001,8.42772e-26,7.54224e-47,-2.78607e-22,0,0,98.2232,0,0,0
180001,-0.00888054,-0.00888054,0.0180001,1.06965e-25,6.64563e-47,-4.60918e-22,0,0,98.5805,0,0,0
190001,-0.00938011,-0.00938011,0.0190001,1.36181e-25,8.65514e-47,-4.1704e-22,0,0,98.9355,0,0,0
200001,-0.00987969,-0.00987969,0.0200001,1.55602e-25,1.06741e-46,-3.15089e-22,0,0,99.2884,0,0,0
210001,-0.0103793,-0.0103793,0.0210001,1.74234e-25,1.17681e-46,-2.85816e-22,0,0,99.6391,0,0,0
220001,-0.0108788,-0.0108788,0.0220001,1.91964e-25,1.26384e-46,-2.68086e-22,0,0,99.9877,0,0,0
230001,-0.0113784,-0.0113784,0.0230001,2.01498e-25,1.75653e-46,-3.04121e-23,0,0,100.334,0,0,0
240001,-0.011878,-0.011878,0.0240001,2.01131e-25,1.7659e-46,-2.70988e-23,0,0,100.679,0,0,0
250001,-0.0123776,-0.0123776,0.0250001,1.99216e-25,2.02177e-46,9.85128e-23,0,0,101.021,0,0,0
260001,-0.0128772,-0.0128772,0.0260001,1.93741e-25,1.79549e-46,-2.19574e-23,0,0,101.361,0,0,0
270001,-0.0133768,-0.0133768,0.0270001,1.89098e-25,2.2907e-46,2.32588e-22,0,0,101.699,0,0,0
280001,-0.0138764,-0.0138764,0.0280001,1.72697e-25,2.31787e-46,2.18129e-22,0,0,102.035,0,0,0
290001,-0.014376,-0.014376,0.0290001,1.61108e-25,2.12849e-46,8.79006e-23,0,0,102.369,0,0,0
300001,-0.0148755,-0.0148755,0.0300001,1.568e-25,2.2305e-46,1.47484e-22,0,0,102.701,0,0,0
310001,-0.0153751,-0.0153751,0.0310001,1.40901e-25,2.50563e-46,2.98224e-22,0,0,103.031,0,0,0
320001,-0.0158748,-0.0158748,0.0320001,1.20465e-25,2.60355e-46,3.16908e-22,0,0,103.359,0,0,0
330001,-0.0163744,-0.0163744,0.0330001,9.33337e-26,3.03145e-46,5.95139e-22,0,0,103.685,0,0,0
340001,-0.016874,-0.016874,0.0340001,5.93836e-26,3.23369e-46,6.45551e-22,0,0,104.008,0,0,0
350001,-0.0173736,-0.0173736,0.0350001,1.41707e-26,3.61924e-46,7.59023e-22,0,0,104.33,0,0,0
360000,-0.0178731,-0.0178731,0.036,-3.86963e-26,4.06534e-46,9.02424e-22,0,0,104.65,0,0,0
370000,-0.0183727,-0.0183727,0.037,-9.3217e-26,4.60993e-46,8.21184e-22,0,0,104.968,0,0,0
380000,-0.0188724,-0.0188724,0.038,-1.43048e-25,5.03502e-46,8.00953e-22,0,0,105.285,0,0,0
390000,-0.019372,-0.019372,0.039,-1.94788e-25,5.29131e-46,9.0137e-22,0,0,105.599,0,0,0
400000,-0.0198716,-0.0198716,0.04,-2.50192e-25,5.95319e-46,8.3337e-22,0,0,105.911,0,0,0
410000,-0.0203712,-0.0203712,0.041,-3.05339e-25,6.53887e-46,8.13272e-22,0,0,106.221,0,0,0
420000,-0.0208709,-0.0208709,0.042,-3.64851e-25,6.751e-46,9.37012e-22,0,0,106.53,0,0,0
430000,-0.0213705,-0.0213705,0.043,-4.38493e-25,6.35529e-46,1.27091e-21,0,0,106.837,0,0,0
440000,-0.0218701,-0.0218701,0.044,-5.25999e-25,7.28342e-46,1.3524e-21,0,0,107.141,0,0,0
450000,-0.0223697,-0.0223697,0.045,-6.18844e-25,7.28475e-46,1.60087e-21,0,0,107.444,0,0,0
460000,-0.0228694,-0.0228694,0.046,-7.14131e-25,8.75334e-46,1.59169e-21,0,0,107.746,0,0,0
470000,-0.023369,-0.023369,0.047,-8.15109e-25,9.88876e-46,1.65864e-21,0,0,108.045,0,0,0
480000,-0.0238687,-0.0238687,0.048,-9.20908e-25,9.68819e-46,1.88266e-21,0,0,108.343,0,0,0
490000,-0.0243683,-0.0243683,0.049,-1.03949e-24,1.21988e-45,1.8625e-21,0,0,108.638,0,0,0
500000,-0.0248679,-0.0248679,0.05,-1.16e-24,1.26148e-45,2.03732e-21,0,0,108.932,0,0,0
510000,-0.0253676,-0.0253676,0.051,-1.29399e-24,1.20504e-45,2.3182e-21,0,0,109.225,0,0,0
520000,-0.0258672,-0.0258672,0.052,-1.44153e-24,1.43779e-45,2.40614e-21,0,0,109.515,0,0,0
530000,-0.0263669,-0.0263669,0.053,-1.58797e-24,1.85805e-45,2.35529e-21,0,0,109.804,0,0,0
540000,-0.0268665,-0.0268665,0.054,-1.73996e-24,2.08102e-45,2.44995e-21,0,0,110.091,0,0,0
550000,-0.0273662,-0.0273662,0.055,-1.89034e-24,2.34845e-45,2.49996e-21,0,0,110.377,0,0,0
560000,-0.0278658,-0.0278658,0.056,-2.05044e-24,2.66973e-45,2.55187e-21,0,0,110.66,0,0,0
570000,-0.0283655,-0.0283655,0.057,-2.21045e-24,3.01074e-45,2.58726e-21,0,0,110.942,0,0,0
580000,-0.0288652,-0.0288652,0.058,-2.37165e-24,3.58556e-45,2.52357e-21,0,0,111.223,0,0,0
590000,-0.0293648,-0.0293648,0.059,-2.53167e-24,3.86698e-45,2.58043e-21,0,0,111.501,0,0,0
600000,-0.0298645,-0.0298645,0.06,-2.69369e-24,4.34617e-45,2.56301e-21,0,0,111.779,0,0,0
610000,-0.0303642,-0.0303642,0.061,-2.8514e-24,4.91632e-45,2.50418e-21,0,0,112.054,0,0,0
620000,-0.0308638,-0.0308638,0.062,-3.01093e-24,4.97808e-45,2.62546e-21,0,0,112.328,0,0,0
630000,-0.0313635,-0.0313635,0.063,-3.16892e-24,5.63899e-45,2.54186e-21,0,0,112.6,0,0,0
640000,-0.0318632,-0.0318632,0.064,-3.33216e-24,5.32766e-45,2.77061e-21,0,0,112.871,0,0,0
650000,-0.0323628,-0.0323628,0.065,-3.49086e-24,6.84788e-45,2.4442e-21,0,0,113.14,0,0,0
660000,-0.0328625,-0.0328625,0.066,-3.63664e-24,7.5688e-45,2.33882e-21,0,0,113.408,0,0,0
670000,-0.0333622,-0.0333622,0.067,-3.78466e-24,7.83676e-45,2.36565e-21,0,0,113.674,0,0,0
680000,-0.0338619,-0.0338619,0.068,-3.94686e-24,7.09563e-45,2.67366e-21,0,0,113.938,0,0,0
690000,-0.0343616,-0.0343616,0.069,-4.10415e-24,8.13102e-45,2.51571e-21,0,0,114.201,0,0,0
700000,-0.0348612,-0.0348612,0.07,-4.25842e-24,8.5539e-45,2.50801e-21,0,0,114.463,0,0,0
710000,-0.0353609,-0.0353609,0.071,-4.418e-24,8.47948e-45,2.62268e-21,0,0,114.723,0,0,0
720000,-0.0358606,-0.0358606,0.072,-4.57992e-24,8.89327e-45,2.62673e-21,0,0,114.981,0,0,0
730000,-0.0363603,-0.0363603,0.073,-4.75166e-24,8.13739e-45,2.89367e-21,0,0,115.238,0,0,0
740000,-0.03686,-0.03686,0.074,-4.9374e-24,7.88537e-45,3.06351e-21,0,0,115.494,0,0,0
750000,-0.0373597,-0.0373597,0.075,-5.12483e-24,9.02535e-45,2.95257e-21,0,0,115.748,0,0,0
760000,-0.0378594,-0.0378594,0.076,-5.30236e-24,1.01998e-44,2.82652e-21,0,0,116.001,0,0,0
770000,-0.0383591,-0.0383591,0.077,-5.48566e-24,9.9661e-45,2.97482e-21,0,0,116.252,0,0,0
780000,-0.0388588,-0.0388588,0.078,-5.66785e-24,1.06899e-44,2.94304e-21,0,0,116.502,0,0,0
790000,-0.0393585,-0.0393585,0.079,-5.84681e-24,1.15531e-44,2.88475e-21,0,0,116.75,0,0,0
800000,-0.0398582,-0.0398582,0.08,-6.03253e-24,1.174e-44,2.95217e-21,0,0,116.997,0,0,0
810000,-0.0403579,-0.0403579,0.081,-6.21277e-24,1.30871e-44,2.82123e-21,0,0,117.243,0,0,0
820000,-0.0408576,-0.0408576,0.082,-6.38625e-24,1.36651e-44,2.80906e-21,0,0,117.487,0,0,0
830000,-0.0413573,-0.0413573,0.083,-6.56225e-24,1.40199e-44,2.83494e-21,0,0,117.73,0,0,0
840000,-0.041857,-0.041857,0.084,-6.74401e-24,1.29458e-44,3.079e-21,0,0,117.972,0,0,0
850000,-0.0423567,-0.0423567,0.085,-6.94533e-24,1.19321e-44,3.32685e-21,0,0,118.213,0,0,0
860000,-0.0428564,-0.0428564,0.086,-7.16229e-24,1.08169e-44,3.59657e-21,0,0,118.452,0,0,0
870000,-0.0433561,-0.0433561,0.087,-7.38953e-24,1.11548e-44,3.66833e-21,0,0,118.689,0,0,0
880000,-0.0438558,-0.0438558,0.088,-7.6251e-24,1.2044e-44,3.67587e-21,0,0,118.926,0,0,0
890000,-0.0443555,-0.0443555,0.089,-7.85684e-24,1.10069e-44,3.92283e-21,0,0,119.161,0,0,0
900000,-0.0448553,-0.0448553,0.09,-8.10929e-24,9.95376e-45,4.18683e-21,0,0,119.395,0,0,0
910000,-0.045355,-0.045355,0.091,-8.3749e-24,1.06686e-44,4.24303e-21,0,0,119.628,0,0,0
920000,-0.0458547,-0.0458547,0.092,-8.64421e-24,1.16306e-44,4.27289e-21,0,0,119.859,0,0,0
930000,-0.0463544,-0.0463544,0.093,-8.91998e-24,1.0688e-44,4.52425e-21,0,0,120.089,0,0,0
940000,-0.0468541,-0.0468541,0.094,-9.20026e-24,1.18242e-44,4.54118e-21,0,0,120.318,0,0,0
950000,-0.0473539,-0.0473539,0.095,-9.48297e-24,1.3095e-44,4.5466e-21,0,0,120.546,0,0,0
960000,-0.0478536,-0.0478536,0.096,-9.76195e-24,1.47832e-44,4.50403e-21,0,0,120.773,0,0,0
970000,-0.0483533,-0.0483533,0.097,-1.00508e-23,1.41906e-44,4.70451e-21,0,0,120.998,0,0,0
980000,-0.048853,-0.048853,0.098,-1.03457e-23,1.37367e-44,4.88863e-21,0,0,121.222,0,0,0
990000,-0.0493528,-0.0493528,0.099,-1.06477e-23,1.6861e-44,4.73597e-21,0,0,121.445,0,0,0
1e+06,-0.0498525,-0.0498525,0.1,-1.09348e-23,2.02517e-44,4.54826e-21,0,0,121.667,0,0,0
1.01e+06,-0.0503522,-0.0503522,0.101,-1.12083e-23,2.3219e-44,4.39159e-21,0,0,121.888,0,0,0
1.02e+06,-0.050852,-0.050852,0.102,-1.14895e-23,2.17656e-44,4.63647e-21,0,0,122.108,0,0,0
1.03e+06,-0.0513517,-0.0513517,0.103,-1.17675e-23,2.62962e-44,4.35769e-21,0,0,122.326,0,0,0
1.04e+06,-0.0518514,-0.0518514,0.104,-1.20393e-23,2.71029e-44,4.39423e-21,0,0,122.544,0,0,0
1.05e+06,-0.0523512,-0.0523512,0.105,-1.23161e-23,2.68792e-44,4.51843e-21,0,0,122.76,0,0,0
1.06e+06,-0.0528509,-0.0528509,0.106,-1.26038e-23,2.51908e-44,4.76513e-21,0,0,122.975,0,0,0
1.07e+06,-0.0533507,-0.0533507,0.107,-1.29023e-23,2.5702e-44,4.84197e-21,0,0,123.189,0,0,0
1.08e+06,-0.0538504,-0.0538504,0.108,-1.31962e-23,2.85709e-44,4.73206e-21,0,0,123.402,0,0,0
1.09e+06,-0.0543501,-0.0543501,0.109,-1.34945e-23,2.79352e-44,4.89149e-21,0,0,123.614,0,0,0
1.1e+06,-0.0548499,-0.0548499,0.11,-1.38049e-23,2.77879e-44,5.02148e-21,0,0,123.825,0,0,0
