e11,e22,e33,vel0,vel1,vel2,vel3,vel4,vel5,vel6,vel7,vel8,vel9,vel10,vel11,
0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
-0.000488582,-0.000488582,0.0010001,,0.0336776,0.0336776,2.26651e-165,0.0336776,0.0336776,2.26651e-165,0.0336776,0.0336776,2.26651e-165,0.0336776,0.0336776,2.26651e-165
-0.000979607,-0.000979607,0.002,,0.0101687,0.0101687,2.45438e-210,0.0101687,0.0101687,2.45438e-210,0.0101687,0.0101687,2.45438e-210,0.0101687,0.0101687,2.45438e-210
-0.00147077,-0.00147077,0.0030001,,0.00486274,0.00486274,1.6986e-210,0.00486274,0.00486274,1.6986e-210,0.00486274,0.00486274,1.6986e-210,0.00486274,0.00486274,1.6986e-210
-0.00196197,-0.00196197,0.0040001,,0.00285563,0.00285563,1.30146e-210,0.00285563,0.00285563,1.30146e-210,0.00285563,0.00285563,1.30146e-210,0.00285563,0.00285563,1.30146e-210
-0.00245321,-0.00245321,0.005,,0.00188645,0.00188645,1.0572e-210,0.00188645,0.00188645,1.0572e-210,0.00188645,0.00188645,1.0572e-210,0.00188645,0.00188645,1.0572e-210
-0.00294463,-0.00294463,0.006,,0.00134562,0.00134562,8.92152e-211,0.00134562,0.00134562,8.92152e-211,0.00134562,0.00134562,8.92152e-211,0.00134562,0.00134562,8.92152e-211
-0.00343619,-0.00343619,0.007,,0.00101346,0.00101346,7.73466e-211,0.00101346,0.00101346,7.73466e-211,0.00101346,0.00101346,7.73466e-211,0.00101346,0.00101346,7.73466e-211
-0.00392792,-0.00392792,0.008,,0.000794994,0.000794994,6.8424e-211,0.000794994,0.000794994,6.8424e-211,0.000794994,0.000794994,6.8424e-211,0.000794994,0.000794994,6.8424e-211
-0.00441983,-0.00441983,0.009,,0.000643717,0.000643717,6.14898e-211,0.000643717,0.000643717,6.14898e-211,0.000643717,0.000643717,6.14898e-211,0.000643717,0.000643717,6.14898e-211
-0.00491199,-0.00491199,0.0100001,,0.000534682,0.000534682,5.59604e-211,0.000534682,0.000534682,5.59604e-211,0.000534682,0.000534682,5.59604e-211,0.000534682,0.000534682,5.59604e-211
-0.00540432,-0.00540432,0.0110001,,0.000453555,0.000453555,5.14613e-211,0.000453555,0.000453555,5.14613e-211,0.000453555,0.000453555,5.14613e-211,0.000453555,0.000453555,5.14613e-211
