phi1,PHI,phi2
0,0,0
8.93262e-15,0,0
1.1169e-14,0,0
1.00502e-14,0,0
1.04391e-14,0,0
1.00247e-14,0,0
9.76748e-15,0,0
9.6694e-15,0,0
9.71251e-15,0,0
9.80354e-15,0,0
9.67734e-15,0,0
9.63726e-15,0,0
9.5348e-15,0,0
9.4242e-15,0,0
9.29534e-15,0,0
9.1122e-15,0,0
9.00529e-15,0,0
9.03061e-15,0,0
9.16838e-15,0,0
8.96251e-15,0,0
8.91772e-15,0,0
8.86987e-15,0,0
8.92919e-15,0,0
8.7129e-15,0,0
8.97645e-15,0,0
9.06814e-15,0,0
8.84106e-15,0,0
9.13357e-15,0,0
9.25494e-15,0,0
9.48752e-15,0,0
1.00861e-14,0,0
1.02117e-14,0,0
1.03176e-14,0,0
1.05539e-14,0,0
9.513e-15,0,0
8.36866e-15,0,0
8.02219e-15,0,0
8.53374e-15,0,0
8.89561e-15,0,0
1.03717e-14,0,0
1.17164e-14,0,0
1.06572e-14,0,0
1.22113e-14,0,0
1.16567e-14,0,0
1.16582e-14,0,0
1.08139e-14,0,0
1.0626e-14,0,0
1.14253e-14,0,0
1.10698e-14,0,0
1.212e-14,0,0
1.25614e-14,0,0
1.24241e-14,0,0
1.34039e-14,0,0
1.2808e-14,0,0
1.19196e-14,0,0
1.21736e-14,0,0
1.26148e-14,0,0
1.31065e-14,0,0
1.26164e-14,0,0
1.18058e-14,0,0
1.19223e-14,0,0
1.25607e-14,0,0
1.26174e-14,0,0
1.28112e-14,0,0
1.36255e-14,0,0
1.35958e-14,0,0
1.39826e-14,0,0
1.43513e-14,0,0
1.46891e-14,0,0
1.46916e-14,0,0
1.46202e-14,0,0
1.43023e-14,0,0
1.3652e-14,0,0
1.28514e-14,0,0
1.21357e-14,0,0
1.1092e-14,0,0
9.83931e-15,0,0
8.73695e-15,0,0
7.64986e-15,0,0
6.51222e-15,0,0
5.52433e-15,0,0
5.19002e-15,0,0
4.40626e-15,0,0
3.32794e-15,0,0
3.29044e-15,0,0
3.57551e-15,0,0
4.12954e-15,0,0
4.4891e-15,0,0
5.03312e-15,0,0
5.76016e-15,0,0
6.25477e-15,0,0
6.35769e-15,0,0
5.96744e-15,0,0
5.70782e-15,0,0
6.03943e-15,0,0
6.42092e-15,0,0
7.08642e-15,0,0
7.35808e-15,0,0
7.68998e-15,0,0
8.02153e-15,0,0
8.36596e-15,0,0
8.76399e-15,0,0
9.26112e-15,0,0
9.99008e-15,0,0
1.04852e-14,0,0
1.11941e-14,0,0
1.19812e-14,0,0
1.26123e-14,0,0
1.32987e-14,0,0
1.37164e-14,0,0
1.37747e-14,0,0
1.38091e-14,0,0
1.37627e-14,0,0
1.37098e-14,0,0
1.37173e-14,0,0
1.37585e-14,0,0
1.38263e-14,0,0
1.38182e-14,0,0
1.38672e-14,0,0
1.37934e-14,0,0
1.38628e-14,0,0
1.38501e-14,0,0
1.39872e-14,0,0
1.40881e-14,0,0
1.44937e-14,0,0
1.45799e-14,0,0
1.45781e-14,0,0
1.46176e-14,0,0
1.46018e-14,0,0
1.4493e-14,0,0
1.45581e-14,0,0
1.44961e-14,0,0
1.45183e-14,0,0
1.45316e-14,0,0
1.45268e-14,0,0
1.44792e-14,0,0
1.45041e-14,0,0
1.48765e-14,0,0
1.51617e-14,0,0
1.55321e-14,0,0
1.58602e-14,0,0
1.62696e-14,0,0
1.66353e-14,0,0
1.65615e-14,0,0
1.6523e-14,0,0
1.65047e-14,0,0
1.65086e-14,0,0
1.65342e-14,0,0
1.64267e-14,0,0
1.65062e-14,0,0
1.65533e-14,0,0
1.65847e-14,0,0
1.66194e-14,0,0
1.66512e-14,0,0
1.65993e-14,0,0
1.65999e-14,0,0
1.65575e-14,0,0
1.66764e-14,0,0
1.66611e-14,0,0
1.66417e-14,0,0
1.66492e-14,0,0
1.66694e-14,0,0
1.66865e-14,0,0
1.6623e-14,0,0
1.67204e-14,0,0
1.67366e-14,0,0
1.66969e-14,0,0
1.67001e-14,0,0
1.67042e-14,0,0
1.66848e-14,0,0
1.66662e-14,0,0
1.6735e-14,0,0
1.68435e-14,0,0
1.68035e-14,0,0
1.67647e-14,0,0
1.67596e-14,0,0
1.66794e-14,0,0
1.66806e-14,0,0
1.66744e-14,0,0
1.6651e-14,0,0
1.66144e-14,0,0
1.66433e-14,0,0
1.6696e-14,0,0
1.66826e-14,0,0
1.67237e-14,0,0
1.67443e-14,0,0
1.67272e-14,0,0
1.671e-14,0,0
1.6722e-14,0,0
1.6686e-14,0,0
1.67267e-14,0,0
1.6713e-14,0,0
1.67422e-14,0,0
1.68004e-14,0,0
1.69066e-14,0,0
1.68039e-14,0,0
1.68545e-14,0,0
1.68462e-14,0,0
1.68561e-14,0,0
1.68736e-14,0,0
1.67479e-14,0,0
