time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
0,0,0,0,0,0,0,0,0,0,0,0,0
10001,-0.000488582,-0.000488582,0.0010001,-1.55904e-16,6.12468e-17,-3.59175e-16,0,0,9.46082,0,0,0
20000,-0.000979607,-0.000979607,0.002,-1.94936e-16,2.88416e-17,-2.75903e-16,0,0,16.824,0,0,0
30001,-0.00147077,-0.00147077,0.0030001,-1.75409e-16,4.0484e-17,-2.78201e-16,0,0,24.1516,0,0,0
40001,-0.00196197,-0.00196197,0.0040001,-1.82196e-16,4.82379e-17,-2.81047e-16,0,0,31.4167,0,0,0
50000,-0.00245321,-0.00245321,0.005,-1.74963e-16,5.2306e-17,-2.74266e-16,0,0,38.5985,0,0,0
60000,-0.00294463,-0.00294463,0.006,-1.70475e-16,5.52702e-17,-2.73348e-16,0,0,45.6793,0,0,0
70000,-0.00343619,-0.00343619,0.007,-1.68763e-16,5.57691e-17,-2.66475e-16,0,0,52.6403,0,0,0
80000,-0.00392792,-0.00392792,0.008,-1.69515e-16,5.44595e-17,-2.65486e-16,0,0,59.4648,0,0,0
90000,-0.00441983,-0.00441983,0.009,-1.71104e-16,5.07508e-17,-2.61014e-16,0,0,66.1373,0,0,0
100001,-0.00491199,-0.00491199,0.0100001,-1.68901e-16,4.70539e-17,-2.57623e-16,0,0,72.6439,0,0,0
110001,-0.00540432,-0.00540432,0.0110001,-1.68202e-16,4.41408e-17,-2.62396e-16,0,0,78.9708,0,0,0
120001,-0.00589688,-0.00589688,0.0120001,-1.66414e-16,4.24328e-17,-2.57466e-16,0,0,85.1071,0,0,0
130001,-0.00638968,-0.00638968,0.0130001,-1.64483e-16,4.31671e-17,-2.55159e-16,0,0,91.043,0,0,0
140001,-0.00688274,-0.00688274,0.0140001,-1.62234e-16,4.37293e-17,-2.51165e-16,0,0,96.7704,0,0,0
150001,-0.00737606,-0.00737606,0.0150001,-1.59038e-16,4.35268e-17,-2.4861e-16,0,0,102.282,0,0,0
160001,-0.00786964,-0.00786964,0.0160001,-1.57172e-16,4.52919e-17,-2.44322e-16,0,0,107.574,0,0,0
170001,-0.0083635,-0.0083635,0.0170001,-1.57614e-16,4.45293e-17,-2.35452e-16,0,0,112.642,0,0,0
180001,-0.00885763,-0.00885763,0.0180001,-1.60018e-16,4.59989e-17,-2.37154e-16,0,0,117.484,0,0,0
